Degree,Specialization,YearOfPassing,CGPA,Certifications,JobRole
B.Tech,AI,2017,8.1,18,Data Scientist
PhD,CSE,2023,6.16,11,Software Engineer
PhD,DS,2019,7.77,15,Data Analyst
M.Tech,CSE,2018,7.24,15,Software Engineer
Other,CSE,2017,9.01,1,Data Analyst
B.Tech,CE,2017,6.53,14,Software Engineer
M.Tech,AI,2022,6.38,13,Data Analyst
B.Tech,DS,2016,6.78,18,Data Analyst
BCA,AI,2016,6.44,12,ML Developer
BCA,IT,2017,7.76,1,Software Engineer
M.Tech,DS,2022,4.86,1,Data Analyst
B.Tech,CSE,2020,5.54,7,Software Engineer
BCA,AI,2018,5.52,8,ML Developer
Other,CE,2022,7.94,20,Software Engineer
B.Tech,CSE,2021,8.85,4,Data Analyst
M.Tech,IT,2023,6.67,7,Software Engineer
B.Tech,CSE,2016,6.6,5,Data Analyst
Other,DS,2023,6.88,9,Data Analyst
M.Tech,Other,2023,8.19,20,AI Developer
M.Tech,DS,2015,5.69,14,Data Scientist
Other,CE,2020,7.09,14,Software Engineer
BCA,IT,2016,7.97,17,Software Engineer
M.Tech,IT,2015,7.4,8,Software Engineer
B.Tech,IT,2022,7.03,11,Software Engineer
B.Tech,CSE,2016,8.0,19,Software Engineer
BCA,Other,2018,3.56,14,Manager
Other,CSE,2020,7.61,10,Software Engineer
B.Tech,AI,2015,6.02,16,ML Developer
BCA,AI,2020,4.6,9,Software Engineer
B.Tech,CSE,2020,7.41,2,Data Analyst
M.Tech,CSE,2016,8.45,20,Software Engineer
M.Tech,ML,2022,6.64,19,Manager
B.Tech,CE,2015,7.94,13,Software Engineer
B.Tech,ML,2016,8.73,5,AI Developer
BCA,CE,2024,8.38,14,Software Engineer
B.Tech,AI,2023,8.77,2,AI Developer
B.Tech,CE,2021,7.69,8,Software Engineer
M.Tech,IT,2021,6.89,20,Software Engineer
M.Tech,CSE,2015,4.88,15,Software Engineer
M.Tech,AI,2016,6.5,4,Manager
M.Tech,CE,2018,5.79,19,Software Engineer
B.Tech,IT,2020,9.41,14,Software Engineer
M.Tech,AI,2017,6.59,8,Software Engineer
BCA,CE,2019,6.95,19,Software Engineer
B.Tech,Other,2020,7.46,10,Data Analyst
PhD,ML,2017,6.85,16,Manager
M.Tech,CSE,2015,8.83,17,Software Engineer
M.Tech,AI,2015,6.05,8,Data Analyst
BCA,AI,2015,7.03,14,AI Developer
Other,AI,2018,5.91,3,AI Developer
B.Tech,IT,2022,5.22,20,Software Engineer
M.Tech,DS,2024,6.07,11,Data Scientist
B.Tech,CSE,2022,6.76,2,Data Analyst
B.Tech,CE,2018,6.28,8,Data Analyst
M.Tech,CSE,2020,5.97,13,Software Engineer
B.Tech,CSE,2015,5.11,12,Software Engineer
B.Tech,IT,2023,6.7,4,Software Engineer
B.Tech,CSE,2024,4.99,12,Software Engineer
B.Tech,CE,2018,7.71,10,Software Engineer
B.Tech,DS,2017,6.9,11,Data Scientist
B.Tech,CSE,2017,5.05,9,Software Engineer
Other,CE,2017,6.43,13,Software Engineer
M.Tech,DS,2020,5.9,7,Data Analyst
B.Tech,ML,2017,7.18,17,Data Scientist
Other,DS,2016,8.41,4,Data Analyst
Other,ML,2018,4.55,18,ML Developer
M.Tech,CSE,2021,6.94,8,Software Engineer
BCA,AI,2023,6.61,10,Software Engineer
B.Tech,CE,2019,7.61,5,Data Analyst
B.Tech,CE,2022,7.06,20,Software Engineer
B.Tech,IT,2023,5.9,12,Software Engineer
M.Tech,IT,2020,6.42,12,Software Engineer
M.Tech,IT,2022,5.84,16,Software Engineer
B.Tech,IT,2024,8.09,2,Software Engineer
B.Tech,CSE,2018,6.83,13,Software Engineer
B.Tech,IT,2021,9.08,19,Software Engineer
B.Tech,ML,2019,6.73,18,Manager
B.Tech,CE,2022,5.95,17,Software Engineer
B.Tech,AI,2022,4.98,17,Data Analyst
B.Tech,IT,2021,4.64,14,Software Engineer
B.Tech,IT,2019,4.9,13,Software Engineer
B.Tech,IT,2019,7.12,3,Data Analyst
Other,CSE,2023,7.41,17,Software Engineer
M.Tech,CE,2019,4.9,8,Software Engineer
B.Tech,IT,2023,7.87,7,Data Analyst
B.Tech,CSE,2019,6.22,9,Software Engineer
B.Tech,AI,2017,6.98,18,AI Developer
B.Tech,CSE,2020,8.73,13,Software Engineer
Other,ML,2015,7.88,16,ML Developer
Other,Other,2021,6.48,8,Software Engineer
BCA,CSE,2018,5.73,17,Software Engineer
M.Tech,AI,2022,4.22,15,AI Developer
BCA,CSE,2018,5.94,14,Software Engineer
BCA,AI,2018,6.55,15,ML Developer
PhD,CE,2017,5.62,19,Software Engineer
PhD,CSE,2015,6.64,16,Software Engineer
BCA,ML,2020,6.89,8,ML Developer
B.Tech,ML,2023,6.53,10,AI Developer
M.Tech,AI,2015,6.02,5,Software Engineer
Other,Other,2024,7.0,20,Data Analyst
M.Tech,IT,2021,7.33,7,Data Analyst
B.Tech,IT,2022,5.49,4,Data Analyst
M.Tech,IT,2019,8.49,3,Software Engineer
B.Tech,AI,2015,6.68,20,ML Developer
B.Tech,CSE,2021,6.82,10,Software Engineer
B.Tech,CSE,2023,7.65,3,Data Analyst
B.Tech,IT,2017,7.08,11,Software Engineer
PhD,IT,2017,7.94,4,Software Engineer
M.Tech,IT,2016,7.14,13,Software Engineer
Other,DS,2017,6.07,7,Data Analyst
BCA,AI,2017,7.23,20,ML Developer
B.Tech,CSE,2022,5.43,9,Software Engineer
B.Tech,Other,2022,6.93,3,ML Developer
M.Tech,CSE,2020,6.76,19,Software Engineer
PhD,IT,2024,6.55,2,Software Engineer
B.Tech,DS,2022,6.65,12,Data Scientist
BCA,CSE,2024,4.54,6,Data Analyst
B.Tech,DS,2021,6.14,15,Data Analyst
M.Tech,AI,2016,6.91,13,Data Scientist
Other,CSE,2017,6.99,9,Software Engineer
PhD,IT,2016,5.57,7,Data Analyst
B.Tech,ML,2016,8.32,12,AI Developer
B.Tech,ML,2020,5.76,14,ML Developer
B.Tech,CSE,2015,7.96,15,Software Engineer
B.Tech,AI,2022,7.31,13,AI Developer
B.Tech,CSE,2015,6.02,1,Data Analyst
B.Tech,DS,2020,8.93,15,Data Analyst
B.Tech,IT,2018,5.37,15,Software Engineer
B.Tech,ML,2017,7.9,6,Data Scientist
M.Tech,CSE,2016,8.0,18,Software Engineer
BCA,CSE,2015,6.0,9,Software Engineer
B.Tech,IT,2018,8.47,2,Software Engineer
B.Tech,CE,2023,6.5,4,Data Analyst
M.Tech,IT,2024,7.15,1,Software Engineer
BCA,ML,2018,7.11,12,Data Scientist
B.Tech,CE,2015,6.64,1,Data Analyst
BCA,AI,2016,7.77,8,Data Scientist
B.Tech,ML,2017,7.75,6,AI Developer
M.Tech,ML,2020,4.7,18,Data Scientist
B.Tech,CSE,2023,8.37,13,Software Engineer
Other,CSE,2018,4.81,4,Data Analyst
B.Tech,CE,2020,8.04,1,Data Analyst
B.Tech,CSE,2019,8.15,20,Software Engineer
B.Tech,CE,2018,5.49,14,Software Engineer
B.Tech,AI,2016,6.31,18,Data Analyst
B.Tech,Other,2024,5.47,11,Data Scientist
M.Tech,AI,2017,6.54,11,Software Engineer
M.Tech,DS,2020,6.43,16,Data Analyst
B.Tech,DS,2022,7.74,13,Data Analyst
BCA,IT,2015,8.37,8,Software Engineer
M.Tech,DS,2019,8.47,8,Data Scientist
BCA,AI,2015,6.13,5,AI Developer
M.Tech,CSE,2021,6.55,7,Software Engineer
B.Tech,ML,2022,4.78,11,Software Engineer
B.Tech,AI,2015,5.83,17,ML Developer
M.Tech,CSE,2015,7.96,8,Data Analyst
B.Tech,CSE,2015,8.74,8,Software Engineer
M.Tech,IT,2020,5.32,6,Data Analyst
M.Tech,CE,2022,6.09,3,Software Engineer
B.Tech,Other,2018,6.77,5,Manager
B.Tech,IT,2018,7.14,8,Software Engineer
B.Tech,IT,2017,5.83,7,Software Engineer
B.Tech,AI,2019,7.31,10,ML Developer
Other,CSE,2022,6.23,3,Data Analyst
B.Tech,CSE,2022,6.78,14,Software Engineer
M.Tech,ML,2017,7.46,16,AI Developer
B.Tech,DS,2019,6.81,20,Data Analyst
M.Tech,CSE,2021,6.28,15,Software Engineer
B.Tech,CSE,2023,6.67,20,Software Engineer
M.Tech,CSE,2022,6.69,7,Software Engineer
Other,CE,2023,6.36,12,Software Engineer
M.Tech,DS,2021,6.49,12,Data Analyst
B.Tech,Other,2016,8.72,14,Manager
Other,CSE,2024,7.47,6,Software Engineer
BCA,Other,2020,6.45,17,Data Scientist
M.Tech,AI,2015,7.64,13,Data Scientist
BCA,CSE,2015,6.4,12,Software Engineer
M.Tech,AI,2017,8.21,9,ML Developer
Other,CSE,2018,7.24,20,Software Engineer
M.Tech,AI,2017,6.67,1,Manager
BCA,AI,2021,7.34,13,ML Developer
Other,CE,2018,4.91,14,Software Engineer
B.Tech,IT,2019,5.45,17,Software Engineer
Other,AI,2021,5.37,19,AI Developer
BCA,ML,2016,6.97,4,Data Scientist
M.Tech,ML,2017,8.88,9,ML Developer
Other,IT,2019,9.48,1,Software Engineer
BCA,CE,2016,7.57,14,Software Engineer
M.Tech,AI,2021,7.4,6,AI Developer
B.Tech,CSE,2022,4.64,6,Software Engineer
M.Tech,ML,2017,6.15,7,Manager
BCA,ML,2018,5.85,9,ML Developer
B.Tech,DS,2016,6.05,6,Data Analyst
B.Tech,CSE,2016,6.6,11,Software Engineer
B.Tech,CSE,2022,6.23,4,Software Engineer
B.Tech,ML,2015,4.42,19,Manager
B.Tech,IT,2015,7.7,13,Software Engineer
M.Tech,Other,2019,5.51,16,ML Developer
BCA,AI,2020,7.09,12,ML Developer
B.Tech,CSE,2018,9.29,12,Software Engineer
M.Tech,IT,2015,5.7,12,Software Engineer
PhD,ML,2015,3.76,15,Manager
BCA,DS,2017,6.46,1,Data Scientist
PhD,CSE,2018,8.12,12,Software Engineer
M.Tech,AI,2022,9.15,17,ML Developer
B.Tech,Other,2020,5.32,1,Data Scientist
B.Tech,CE,2020,7.4,15,Software Engineer
B.Tech,IT,2024,6.24,3,Data Analyst
B.Tech,DS,2022,6.67,4,Data Scientist
B.Tech,CSE,2017,9.97,17,Software Engineer
PhD,ML,2023,5.0,2,Data Scientist
M.Tech,CE,2023,7.1,15,Software Engineer
B.Tech,IT,2016,7.36,16,Software Engineer
M.Tech,CSE,2018,8.1,6,Software Engineer
B.Tech,Other,2015,6.92,6,AI Developer
Other,ML,2018,7.17,9,ML Developer
Other,AI,2017,6.33,18,Data Scientist
BCA,CE,2020,7.12,8,Software Engineer
M.Tech,IT,2021,6.39,18,Software Engineer
Other,IT,2018,7.55,8,Data Analyst
B.Tech,CE,2016,6.36,11,Software Engineer
BCA,DS,2016,7.25,19,Data Analyst
PhD,Other,2024,6.76,1,Manager
B.Tech,IT,2021,8.15,14,Software Engineer
B.Tech,IT,2017,6.74,17,Software Engineer
M.Tech,AI,2016,4.67,13,Manager
M.Tech,IT,2017,8.31,10,Software Engineer
BCA,IT,2022,5.71,5,Data Analyst
B.Tech,AI,2015,6.02,20,AI Developer
B.Tech,Other,2016,6.09,9,Data Scientist
M.Tech,AI,2018,8.45,16,AI Developer
Other,CE,2020,4.24,5,Software Engineer
BCA,DS,2018,10.0,2,Data Scientist
BCA,DS,2021,8.07,10,Data Scientist
M.Tech,ML,2015,7.07,18,AI Developer
B.Tech,IT,2020,6.73,13,Software Engineer
B.Tech,IT,2019,7.14,10,Software Engineer
M.Tech,CSE,2023,7.43,13,Software Engineer
B.Tech,CSE,2024,7.57,2,Data Analyst
M.Tech,CSE,2017,7.47,15,Software Engineer
M.Tech,CSE,2017,6.91,7,Software Engineer
BCA,CSE,2015,6.56,12,Software Engineer
BCA,AI,2017,6.62,13,ML Developer
M.Tech,CSE,2015,6.57,4,Data Analyst
Other,CSE,2015,8.16,4,Data Analyst
M.Tech,Other,2021,7.51,8,Manager
B.Tech,IT,2019,3.27,20,Software Engineer
Other,AI,2021,7.59,3,ML Developer
PhD,AI,2019,7.03,15,AI Developer
B.Tech,CE,2022,6.78,17,Software Engineer
B.Tech,AI,2024,6.33,16,AI Developer
M.Tech,CE,2024,8.15,6,Data Analyst
M.Tech,AI,2021,7.94,10,ML Developer
B.Tech,CE,2023,5.87,6,Data Analyst
BCA,CE,2023,7.29,18,Software Engineer
BCA,IT,2016,5.63,17,Software Engineer
BCA,IT,2016,5.14,7,Software Engineer
B.Tech,AI,2017,6.05,1,Data Analyst
B.Tech,CSE,2015,7.83,5,Software Engineer
M.Tech,CE,2019,7.94,2,Software Engineer
Other,IT,2020,7.42,18,Software Engineer
B.Tech,Other,2015,7.67,8,AI Developer
B.Tech,DS,2019,7.42,18,Data Analyst
M.Tech,AI,2023,6.03,12,Data Analyst
M.Tech,CSE,2016,7.32,2,Software Engineer
B.Tech,CSE,2018,7.76,5,Software Engineer
M.Tech,CSE,2024,7.71,14,Software Engineer
B.Tech,CSE,2021,8.23,6,Data Analyst
M.Tech,DS,2021,7.65,5,Data Analyst
B.Tech,ML,2018,7.22,12,ML Developer
M.Tech,IT,2017,8.08,14,Software Engineer
BCA,CSE,2021,6.77,13,Software Engineer
B.Tech,AI,2016,5.74,9,Manager
M.Tech,AI,2021,6.6,3,AI Developer
M.Tech,IT,2020,5.91,9,Software Engineer
B.Tech,ML,2019,5.99,1,Manager
B.Tech,Other,2021,6.63,4,Manager
B.Tech,ML,2019,5.85,19,ML Developer
B.Tech,CSE,2024,6.43,10,Software Engineer
M.Tech,AI,2015,4.53,6,AI Developer
Other,IT,2020,7.06,18,Software Engineer
M.Tech,DS,2021,6.8,16,Data Analyst
B.Tech,AI,2017,5.82,5,Software Engineer
B.Tech,ML,2015,7.59,12,ML Developer
B.Tech,AI,2022,7.93,6,ML Developer
B.Tech,IT,2019,4.87,9,Software Engineer
Other,IT,2018,5.88,10,Software Engineer
M.Tech,CE,2019,5.88,14,Software Engineer
BCA,ML,2016,5.67,3,Data Scientist
B.Tech,CE,2024,7.8,2,Software Engineer
BCA,AI,2022,6.57,1,ML Developer
M.Tech,DS,2017,6.48,16,Data Analyst
M.Tech,AI,2023,4.4,4,ML Developer
B.Tech,CSE,2015,7.56,14,Software Engineer
BCA,ML,2018,5.31,17,Data Scientist
M.Tech,AI,2017,6.87,17,Software Engineer
B.Tech,IT,2017,7.13,17,Software Engineer
B.Tech,CE,2022,8.43,13,Software Engineer
B.Tech,Other,2020,5.23,8,Data Analyst
PhD,DS,2019,3.18,10,Data Analyst
B.Tech,CE,2024,7.02,13,Software Engineer
B.Tech,CSE,2023,8.96,2,Data Analyst
PhD,ML,2015,8.29,12,AI Developer
M.Tech,CSE,2016,7.05,1,Data Analyst
PhD,CSE,2020,6.21,1,Software Engineer
B.Tech,CSE,2023,7.77,17,Software Engineer
PhD,IT,2022,5.63,1,Software Engineer
BCA,CSE,2022,7.37,13,Software Engineer
B.Tech,IT,2017,7.41,18,Software Engineer
BCA,CSE,2022,8.07,15,Software Engineer
B.Tech,IT,2021,10.0,1,Data Analyst
PhD,ML,2016,7.27,7,AI Developer
B.Tech,IT,2020,6.19,2,Software Engineer
M.Tech,DS,2019,6.77,4,Data Analyst
M.Tech,ML,2017,4.68,11,ML Developer
M.Tech,DS,2021,5.97,5,Data Analyst
B.Tech,CE,2017,6.31,12,Software Engineer
M.Tech,ML,2018,6.17,2,Data Scientist
BCA,IT,2024,6.98,1,Data Analyst
M.Tech,CSE,2016,5.81,14,Software Engineer
B.Tech,CSE,2023,8.15,6,Software Engineer
B.Tech,CSE,2019,6.8,8,Data Analyst
B.Tech,ML,2016,6.79,17,Data Analyst
B.Tech,Other,2024,6.41,5,Software Engineer
B.Tech,IT,2019,6.99,7,Software Engineer
B.Tech,AI,2016,7.79,2,AI Developer
M.Tech,ML,2018,5.76,8,AI Developer
B.Tech,CE,2021,6.01,2,Data Analyst
B.Tech,IT,2020,6.44,14,Software Engineer
B.Tech,DS,2017,5.18,2,Data Analyst
M.Tech,CSE,2019,5.82,16,Software Engineer
B.Tech,AI,2021,6.23,6,AI Developer
Other,IT,2019,7.85,4,Software Engineer
M.Tech,AI,2017,7.12,11,AI Developer
BCA,ML,2024,7.03,17,ML Developer
B.Tech,CSE,2024,7.82,13,Software Engineer
B.Tech,CSE,2024,6.64,4,Software Engineer
M.Tech,DS,2018,7.27,7,Data Scientist
Other,CE,2023,6.68,20,Software Engineer
B.Tech,ML,2018,7.12,18,ML Developer
B.Tech,CSE,2023,6.1,9,Software Engineer
PhD,ML,2023,3.87,12,Manager
B.Tech,ML,2021,6.64,3,ML Developer
B.Tech,DS,2023,8.51,1,Data Analyst
B.Tech,Other,2019,7.91,2,Data Analyst
B.Tech,Other,2018,7.96,13,ML Developer
M.Tech,DS,2016,8.28,6,Data Analyst
M.Tech,AI,2021,6.91,13,Data Analyst
B.Tech,CSE,2017,7.04,19,Software Engineer
B.Tech,AI,2023,6.06,15,Data Analyst
BCA,IT,2019,6.42,8,Data Analyst
BCA,AI,2017,7.54,8,AI Developer
B.Tech,CE,2017,8.24,9,Software Engineer
Other,CSE,2015,6.63,8,Software Engineer
M.Tech,CE,2020,6.26,20,Software Engineer
Other,CSE,2023,6.8,9,Software Engineer
BCA,IT,2024,7.52,10,Software Engineer
B.Tech,CE,2015,5.07,12,Software Engineer
B.Tech,Other,2017,4.04,9,Manager
M.Tech,Other,2024,6.14,4,Data Scientist
BCA,IT,2019,5.34,20,Software Engineer
M.Tech,ML,2018,6.19,11,AI Developer
B.Tech,AI,2021,6.62,5,ML Developer
B.Tech,ML,2020,6.26,5,ML Developer
B.Tech,CSE,2017,8.54,6,Software Engineer
M.Tech,DS,2017,7.19,10,Data Analyst
B.Tech,CSE,2021,7.16,20,Software Engineer
B.Tech,CSE,2021,7.55,8,Data Analyst
Other,Other,2016,5.43,17,Software Engineer
BCA,ML,2024,8.05,4,AI Developer
B.Tech,ML,2015,6.71,5,Software Engineer
BCA,CSE,2024,7.6,1,Software Engineer
Other,CSE,2020,5.51,3,Software Engineer
B.Tech,ML,2022,4.94,6,AI Developer
B.Tech,CSE,2015,7.78,18,Software Engineer
M.Tech,AI,2016,7.25,1,Data Scientist
B.Tech,CSE,2023,5.72,14,Software Engineer
B.Tech,DS,2015,5.76,8,Data Analyst
B.Tech,AI,2018,8.15,13,ML Developer
BCA,DS,2022,5.37,6,Data Scientist
B.Tech,Other,2019,8.77,12,Manager
M.Tech,CSE,2016,5.72,2,Software Engineer
B.Tech,IT,2024,7.57,6,Data Analyst
B.Tech,AI,2019,6.41,20,AI Developer
B.Tech,CSE,2022,7.52,12,Software Engineer
Other,ML,2016,6.15,1,Software Engineer
BCA,CSE,2017,6.6,13,Software Engineer
B.Tech,ML,2022,6.85,3,Manager
M.Tech,Other,2019,5.6,5,Manager
B.Tech,CSE,2021,7.69,12,Software Engineer
B.Tech,IT,2021,6.18,20,Software Engineer
BCA,CSE,2018,6.53,13,Software Engineer
B.Tech,IT,2023,5.61,16,Software Engineer
M.Tech,ML,2021,3.73,3,Data Analyst
BCA,IT,2018,6.57,3,Software Engineer
B.Tech,CSE,2015,9.7,12,Software Engineer
M.Tech,Other,2016,7.74,2,AI Developer
B.Tech,ML,2017,6.78,10,ML Developer
B.Tech,DS,2021,6.48,8,Data Analyst
B.Tech,ML,2016,6.83,5,ML Developer
BCA,AI,2021,7.46,12,AI Developer
B.Tech,AI,2022,5.38,20,Software Engineer
B.Tech,IT,2016,8.14,8,Software Engineer
B.Tech,ML,2021,7.66,5,ML Developer
M.Tech,CSE,2023,7.66,10,Software Engineer
M.Tech,ML,2022,7.33,1,AI Developer
B.Tech,DS,2015,6.82,20,Data Scientist
M.Tech,CE,2021,7.61,15,Software Engineer
M.Tech,ML,2024,7.51,17,AI Developer
B.Tech,DS,2019,6.38,3,Data Analyst
Other,CSE,2018,6.11,13,Software Engineer
M.Tech,CSE,2017,6.92,18,Software Engineer
M.Tech,CE,2022,8.66,16,Software Engineer
B.Tech,AI,2021,5.31,6,Manager
BCA,AI,2018,5.04,9,Manager
B.Tech,IT,2020,7.0,1,Software Engineer
B.Tech,IT,2016,6.86,7,Software Engineer
BCA,CSE,2023,7.01,7,Software Engineer
B.Tech,CE,2024,7.09,19,Software Engineer
B.Tech,Other,2022,6.53,2,Manager
B.Tech,DS,2015,8.59,12,Data Scientist
Other,IT,2020,4.88,13,Software Engineer
BCA,Other,2016,5.81,11,ML Developer
PhD,IT,2023,6.68,5,Software Engineer
M.Tech,IT,2024,4.83,2,Data Analyst
B.Tech,AI,2016,6.59,3,Data Scientist
B.Tech,CSE,2017,8.79,6,Data Analyst
B.Tech,CSE,2019,6.83,12,Software Engineer
M.Tech,DS,2015,7.08,13,Data Analyst
Other,AI,2017,5.29,19,Data Scientist
Other,CE,2015,6.06,5,Data Analyst
M.Tech,Other,2016,6.35,16,Manager
M.Tech,CSE,2019,6.42,6,Software Engineer
B.Tech,IT,2016,8.34,3,Software Engineer
BCA,IT,2022,7.47,9,Software Engineer
BCA,IT,2017,5.47,4,Data Analyst
B.Tech,DS,2021,7.1,14,Data Scientist
Other,CSE,2020,7.4,17,Software Engineer
BCA,Other,2020,8.17,3,Data Scientist
B.Tech,IT,2015,8.7,20,Software Engineer
Other,CE,2018,5.58,18,Software Engineer
B.Tech,DS,2019,5.83,13,Data Analyst
B.Tech,CE,2021,5.29,15,Software Engineer
M.Tech,CSE,2022,6.52,18,Software Engineer
Other,IT,2016,7.36,6,Software Engineer
Other,DS,2021,7.98,7,Data Analyst
B.Tech,CSE,2024,6.71,16,Software Engineer
B.Tech,ML,2016,6.42,9,ML Developer
B.Tech,CSE,2022,6.98,5,Software Engineer
B.Tech,CE,2024,5.8,13,Software Engineer
B.Tech,ML,2021,9.31,16,AI Developer
B.Tech,CE,2021,4.87,9,Software Engineer
B.Tech,CSE,2017,7.02,3,Data Analyst
B.Tech,CSE,2022,9.23,14,Software Engineer
M.Tech,AI,2019,6.81,6,Manager
B.Tech,DS,2020,6.57,10,Data Analyst
B.Tech,IT,2022,6.37,18,Software Engineer
M.Tech,CSE,2021,6.58,12,Software Engineer
Other,AI,2015,8.45,18,ML Developer
M.Tech,CE,2024,4.15,20,Software Engineer
B.Tech,AI,2020,8.64,1,AI Developer
M.Tech,CSE,2020,5.09,4,Data Analyst
B.Tech,ML,2022,6.48,5,Data Scientist
B.Tech,Other,2016,6.28,2,Software Engineer
BCA,CSE,2023,7.51,6,Data Analyst
B.Tech,CSE,2018,4.88,19,Software Engineer
Other,IT,2020,7.35,1,Data Analyst
PhD,IT,2016,9.23,16,Software Engineer
M.Tech,IT,2021,5.16,12,Software Engineer
B.Tech,IT,2023,7.03,11,Software Engineer
B.Tech,CSE,2021,6.01,12,Software Engineer
B.Tech,AI,2023,7.31,14,AI Developer
BCA,AI,2021,6.82,10,Data Scientist
M.Tech,DS,2016,6.03,3,Data Scientist
B.Tech,AI,2024,7.39,14,AI Developer
BCA,AI,2023,8.97,4,ML Developer
M.Tech,ML,2019,6.57,14,Software Engineer
B.Tech,IT,2021,7.66,4,Software Engineer
PhD,Other,2020,5.25,15,Manager
Other,AI,2021,5.65,1,AI Developer
BCA,IT,2019,7.37,9,Software Engineer
B.Tech,DS,2021,8.58,8,Data Analyst
Other,CE,2015,7.23,5,Data Analyst
BCA,IT,2024,6.42,11,Software Engineer
B.Tech,Other,2021,6.8,8,Data Analyst
Other,CSE,2021,5.3,2,Data Analyst
B.Tech,AI,2017,7.53,13,Data Scientist
M.Tech,IT,2016,7.86,5,Software Engineer
M.Tech,ML,2019,6.26,18,Software Engineer
Other,CSE,2016,6.24,1,Data Analyst
B.Tech,ML,2017,7.12,1,ML Developer
M.Tech,Other,2024,6.28,13,Manager
BCA,CSE,2022,6.72,12,Software Engineer
B.Tech,AI,2018,9.32,10,AI Developer
BCA,ML,2021,6.5,9,Data Scientist
B.Tech,CE,2017,6.37,1,Software Engineer
B.Tech,DS,2016,6.02,4,Data Analyst
B.Tech,CSE,2016,7.69,16,Software Engineer
BCA,DS,2018,6.58,13,Data Analyst
BCA,IT,2022,6.02,3,Software Engineer
M.Tech,IT,2020,8.39,15,Software Engineer
BCA,CSE,2015,8.5,6,Software Engineer
B.Tech,CSE,2020,6.08,16,Software Engineer
Other,AI,2015,4.56,6,Data Analyst
BCA,DS,2018,8.01,20,Data Analyst
B.Tech,IT,2017,5.98,7,Data Analyst
B.Tech,CSE,2020,7.75,5,Software Engineer
B.Tech,AI,2017,4.44,9,AI Developer
M.Tech,Other,2020,7.87,18,Data Scientist
B.Tech,ML,2022,5.35,14,Data Analyst
Other,DS,2019,7.68,6,Data Analyst
BCA,ML,2021,6.82,4,Data Analyst
BCA,AI,2017,5.66,7,Data Scientist
M.Tech,DS,2021,6.31,20,Data Scientist
BCA,AI,2024,7.62,13,ML Developer
M.Tech,IT,2016,6.93,15,Software Engineer
B.Tech,CE,2023,7.5,9,Software Engineer
M.Tech,CSE,2023,9.17,12,Software Engineer
B.Tech,CSE,2020,4.92,14,Software Engineer
BCA,IT,2016,8.74,7,Data Analyst
B.Tech,ML,2016,6.93,1,AI Developer
M.Tech,ML,2018,5.72,15,Data Analyst
BCA,DS,2023,5.2,3,Data Analyst
M.Tech,IT,2016,6.57,18,Software Engineer
B.Tech,AI,2016,7.91,19,Data Scientist
B.Tech,ML,2020,6.65,11,Software Engineer
B.Tech,ML,2022,8.61,2,Data Scientist
B.Tech,CSE,2017,5.06,20,Software Engineer
B.Tech,IT,2024,6.79,1,Data Analyst
B.Tech,ML,2024,5.3,1,ML Developer
B.Tech,ML,2021,7.24,2,Data Scientist
Other,CE,2015,7.86,3,Data Analyst
B.Tech,ML,2019,6.3,9,AI Developer
BCA,IT,2023,3.67,11,Software Engineer
M.Tech,CE,2019,7.04,15,Software Engineer
M.Tech,AI,2016,7.32,12,Data Scientist
B.Tech,CSE,2015,7.29,5,Software Engineer
Other,DS,2021,8.28,8,Data Analyst
B.Tech,DS,2020,5.51,18,Data Scientist
Other,DS,2019,7.62,2,Data Analyst
Other,CE,2020,8.23,20,Software Engineer
BCA,IT,2017,4.67,5,Data Analyst
B.Tech,CSE,2017,7.18,19,Software Engineer
PhD,Other,2021,6.19,15,Data Scientist
M.Tech,CSE,2022,6.7,16,Software Engineer
Other,CSE,2022,7.22,8,Software Engineer
B.Tech,CSE,2016,6.22,12,Software Engineer
M.Tech,DS,2018,5.99,3,Data Analyst
M.Tech,CSE,2018,6.84,15,Software Engineer
BCA,CSE,2016,5.5,11,Software Engineer
B.Tech,AI,2023,5.5,17,AI Developer
BCA,CSE,2022,7.62,5,Software Engineer
Other,CSE,2020,5.42,13,Software Engineer
Other,DS,2023,7.6,7,Data Scientist
B.Tech,CSE,2017,7.36,10,Software Engineer
Other,AI,2016,4.73,5,ML Developer
PhD,ML,2018,5.99,1,Manager
B.Tech,CE,2023,8.23,15,Software Engineer
B.Tech,CSE,2023,5.62,3,Data Analyst
B.Tech,CSE,2023,6.24,14,Software Engineer
M.Tech,CE,2019,7.35,12,Software Engineer
B.Tech,AI,2021,7.74,7,AI Developer
B.Tech,AI,2023,6.5,20,ML Developer
M.Tech,CSE,2015,6.08,8,Software Engineer
B.Tech,CE,2015,8.51,19,Software Engineer
B.Tech,CE,2016,8.89,9,Software Engineer
B.Tech,AI,2021,7.97,13,AI Developer
B.Tech,ML,2019,6.9,16,Software Engineer
B.Tech,CSE,2019,5.83,20,Software Engineer
B.Tech,CE,2017,5.8,17,Software Engineer
Other,AI,2019,7.43,8,AI Developer
M.Tech,CSE,2020,7.3,15,Software Engineer
B.Tech,CE,2022,8.48,14,Software Engineer
B.Tech,CSE,2019,7.58,3,Software Engineer
M.Tech,DS,2024,5.0,12,Data Scientist
M.Tech,IT,2018,8.06,16,Software Engineer
